lat,lon,name,value
55.727632,37.5803116,Вкусно — и точка,1
55.8461495,37.4387397,Шоколадница,1
55.7772874,37.5208653,Вкусно — и точка,1
59.9332975,30.3229252,Сулико,1
59.8531162,30.219852,Бургер Кинг,1
59.924529,30.3215758,Kimchi to go,1
60.0589545,30.337447,Теремок,1
55.7264249,37.5791868,Будь здоров,1
55.8216614,37.9694597,Оптимист,1
55.8230152,37.9695967,,1
59.9947715,29.7640705,Евразия,1
59.9291782,30.3125395,Шумли,1
59.9276112,30.3084269,Все твои друзья,1
60.0581192,30.3355033,М.Видео,1
59.9311455,30.3549322,Столовая №1,1
59.9424608,30.2772993,Бизнес-центр «Магнус»,1
55.6883768,37.5732294,Такэ,1
55.7422322,37.4188705,Якитория,1
55.8081589,37.6384319,Му-Му,1
55.8099676,37.6365805,Вкусно — и точка,1
59.9423132,30.2792247,Мегафон,1
59.942175,30.2759711,Rostic`s,1
59.9382053,30.2780965,KwakInn,1
59.941913,30.2753379,Бургер Кинг,1
55.541509,37.536503,Санта-Пицца,1
59.8931891,30.514804,Вкусно — и точка,1
59.9368729,30.2828245,И пинь,1
59.9374408,30.2822576,Vasilievsky hotel,1
59.8385586,29.8783695,Грин Отель,1
59.967786,30.3123264,Pita's,1
59.9664797,30.3105357,Момо,1
59.8586217,30.4790891,Винтаж,1
59.8479063,30.3831712,Чаман,1
55.7737934,37.5860675,Булка,1
60.0014125,30.2993372,Beer House,1
59.8467866,30.3834821,Библиотека имени А. А. Прокофьева,1
59.8758227,30.3734207,Детская библиотека имени В. Г. Короленко,1
59.8511419,30.2340852,Union,1
56.0156585,37.4798336,СССР,1
59.9995668,30.2927605,Токио-City,1
59.986567,30.3046885,,1
59.9470463,30.3832037,Шаляпин,1
55.7639264,37.646019,Траттория Semplice,1
55.8846736,37.6011089,Якитория,1
59.7089634,30.4078393,Шаурма,1
60.0504613,30.3441575,Тан Жен,1
59.9579485,30.3342386,Чердак,1
59.9338636,30.3549097,Слой,1
55.9135639,37.8681911,Якитория,1
55.8852779,37.4031399,Вианор сервис маркет,1
55.7947643,37.6996631,Трамвайное депо имени Русакова,1
60.09138,30.3797354,Вкусно — и точка,1
